2505 Richmond Avenue	Staten Island	NY
2530 Hylan Boulevard	Staten Island	NY
2070 Victory Blvd	Staten Island	NY
150 L Greaves Lane	Staten Island	NY
1652 Richmond Ave	Staten Island	NY
1351 Forest Ave	Staten Island	NY
11 Broadway	New York	NY
17 State Street	New York	NY
159 West 25th Street	New York	NY
1466 Broadway	New York	NY
7 West 31St Street	New York	NY
875 3rd Avenue	New York	NY
Broadway & Prince	New York	NY
4 West 49th Street	New York	NY
25 Union Square	New York	NY
217 E 43rd St	New York	NY
216 West 76th Street	New York	NY
80 Lafayette Street	New York	NY
West 57th Street & 9th Avenue	New York	NY
786 9th Avenue	New York	NY
473 Amsterdam Avenue	New York	NY
1625 Broadway	New York	NY
11 E 55th Street	New York	NY
10 Columbus Circle	New York	NY
461 Park Avenue South	New York	NY
550 Second Avenue	New York	NY
100 Broadway	New York	NY
680 Fifth Avenue	New York	NY
62 W 39th Street	New York	NY
4710 Broadway	New York	NY
1450 Broadway	New York	NY
545 Broadway	New York	NY
49 Broadway	New York	NY
88 West 3rd Street	New York	NY
250 West 49th Street	New York	NY
50 Trinity Place	New York	NY
111 Worth Street	New York	NY
10 Columbus Circle	New York	NY
94 Fulton Street	New York	NY
375 Lexington Ave	New York	NY
270 Park Avenue South	New York	NY
350 5th Ave	New York	NY
1122 Lexington Avenue	New York	NY
1122 Lexington Avenue	New York	NY
221 West 72nd Street	New York	NY
221 West 72nd Street	New York	NY
240 Central Park South	New York	NY
240 Central Park South	New York	NY
233 West 54th Street	New York	NY
233 West 54th Street	New York	NY
641 Lexington Avenue	New York	NY
641 Lexington Avenue	New York	NY
153 East 53rd Street	New York	NY
153 East 53rd Street	New York	NY
650 Avenue of the Americas	New York	NY
650 Avenue of the Americas	New York	NY
16 East 52nd Street	New York	NY
16 East 52nd Street	New York	NY
1211 Avenue Of Americas	New York	NY
1211 Avenue Of Americas	New York	NY
257 Park Avenue South	New York	NY
257 Park Avenue South	New York	NY
747 3rd Ave	New York	NY
747 3rd Ave	New York	NY
71 Vanderbilt Street	New York	NY
71 Vanderbilt Street	New York	NY
305 East 46th Street	New York	NY
305 East 46th Street	New York	NY
60 West 40th Street	New York	NY
60 West 40th Street	New York	NY
600 3rd Avenue	New York	NY
600 3rd Avenue	New York	NY
245 Seventh Avenue	New York	NY
245 Seventh Avenue	New York	NY
500 7th Avenue	New York	NY
500 7th Avenue	New York	NY
191 Madison Avenue	New York	NY
191 Madison Avenue	New York	NY
350 Fifth Avenue	New York	NY
350 Fifth Avenue	New York	NY
250 East Houston Street	New York	NY
250 East Houston Street	New York	NY
105 Duane Street	New York	NY
105 Duane Street	New York	NY
100 Wall Street	New York	NY
100 Wall Street	New York	NY
21 Astor Place	New York	NY
21 Astor Place	New York	NY
10 West 18th Street	New York	NY
833B 2nd Avenue	New York	NY
10 W. 18th Street	New York	NY
707 Lexington Ave	New York	NY
42nd St & Park Ave	New York	NY
54 Canal Street	New York	NY
377 5th Ave	New York	NY
Columbus Circle	New York	NY
307 W Broadway	New York	NY
17 John Street	New York	NY
36 W 106th Street	New York	NY
140 East 57th Street	New York	NY
9 Maiden Lane	New York	NY
49 1/2 First Ave	New York	NY
116 Avenue C	New York	NY
400 Broome Street	New York	NY
1024 2nd Avenue	New York	NY
489 Columbus Ave	New York	NY
1250 Broadway	New York	NY
41 E. 30th St.	New York	NY
1173 Second Ave	New York	NY
1173 Second Ave	New York	NY
317 Broadway	New York	NY
160 Broadway	New York	NY
26 Bowery	New York	NY
262 Canal St	New York	NY
167 Chambers Street	New York	NY
6 Water Street	New York	NY
213 Madison Street	New York	NY
114 Delancey St	New York	NY
136 W 3rd St	New York	NY
724 Broadway	New York	NY
102-106 1st Ave	New York	NY
27 3rd Avenue	New York	NY
405 6th Ave	New York	NY
541 6th Avenue	New York	NY
154 West 14th Street	New York	NY
404 East 14th Street	New York	NY
39 Union Square West	New York	NY
686 6th Ave	New York	NY
336 East 23rd Street	New York	NY
809-811 6th Avenue	New York	NY
401 Park Avenue South	New York	NY
335 8th Avenue	New York	NY
108-41 Guy R. Brewer Boulevard	Jamaica	NY
128-16 Rockaway Boulevard	South Ozone Park	NY
191-05 Linden Boulevard	St. Albans	NY
43-06 Greenpoint Avenue	Long Island City	NY
151-10 14 Road	Whitestone	NY
1 Bay St	Staten Island	NY
300 Howard Avenue	Staten Island	NY
328 East 67th Street	New York	NY
203 West 115th Street	New York	NY
224 East 125th Street	New York	NY
174 East 110th Street	New York	NY
33 East Broadway	New York	NY
104 West 136th Street	New York	NY
535 West 179th Street	New York	NY
518 West 125th Street	New York	NY
415 East Houston Street	New York	NY
503 West 145th Street	New York	NY
9 West 124th Street	New York	NY
66 Leroy Street	New York	NY
4790 Broadway	New York	NY
425 Avenue of Americas	New York	NY
2650 Adam Clayton Powell Jr Blvd.	New York	NY
455 Fifth Avenue	New York	NY
9 Murray Street	New York	NY
135 2nd Avenue	New York	NY
524 Main Street	New York	NY
515 Malcolm X Boulevard	New York	NY
